index,name,geometry
988,10th Avenue,"LINESTRING (-8236829.764343097 4977509.677833232, -8236824.3096880475 4977519.245812813, -8236783.522226622 4977593.423692897, -8236778.646432926 4977602.24218252)"
989,West 48th Street,"LINESTRING (-8237397.204315466 4977825.49959691, -8237373.148173505 4977812.683101687)"
990,12th Avenue,"LINESTRING (-8237397.204315466 4977825.49959691, -8237404.106123895 4977812.418541182, -8237409.126632932 4977803.232417013)"
991,East 44th Street,"LINESTRING (-8235409.572543454 4976239.189236827, -8235395.958169729 4976231.577002494, -8235242.381800233 4976145.653216605, -8235229.969677009 4976138.702343069)"
992,5th Avenue,"LINESTRING (-8235409.572543454 4976239.189236827, -8235414.014191138 4976231.033271696, -8235455.0576873915 4976156.63061046, -8235459.577258718 4976148.474714249)"
993,West 44th Street,"LINESTRING (-8236716.541289011 4976965.979195643, -8236701.858248175 4976957.822623744, -8236470.736721391 4976829.346492384, -8236416.546393272 4976799.233765723, -8236400.3160115145 4976790.210253214)"
994,9th Avenue,"LINESTRING (-8236716.541289011 4976965.979195643, -8236721.049728388 4976957.807927224, -8236762.193412185 4976883.238070429, -8236767.180525373 4976874.199783933)"
995,West 44th Street,"LINESTRING (-8237032.944677693 4977141.810087805, -8237019.352567867 4977134.608660123, -8236732.1705455175 4976974.664849963, -8236716.541289011 4976965.979195643)"
996,10th Avenue,"LINESTRING (-8237032.944677693 4977141.810087805, -8237027.267383662 4977152.112547656, -8236986.557845879 4977225.743853783, -8236982.06053845 4977233.94474019)"
997,West 44th Street,"LINESTRING (-8237617.360872408 4977469.583544534, -8237610.8152863495 4977464.748137406, -8237604.52573512 4977460.412440039, -8237595.865078736 4977455.47415657)"
998,12th Avenue,"LINESTRING (-8237617.360872408 4977469.583544534, -8237630.440912575 4977457.326012581, -8237688.393839483 4977404.592345495, -8237699.147302295 4977393.187331192)"
999,Madison Avenue,"LINESTRING (-8234620.896215081 4977243.350783259, -8234573.3071327675 4977329.916198584, -8234566.03797002 4977343.128882087)"
1000,East 56th Street,"LINESTRING (-8234620.896215081 4977243.350783259, -8234561.607454286 4977211.120426465, -8234546.957809296 4977203.066528103, -8234522.2448823415 4977189.471915458, -8234489.049410187 4977171.218422072, -8234462.967253493 4977156.815528661, -8234450.989276285 4977150.216659078)"
1001,East 56th Street,"LINESTRING (-8234431.853455817 4977139.590871769, -8234419.1073741205 4977132.301265031, -8234272.789035422 4977049.793877638, -8234260.84445406 4977043.062810515)"
1002,Park Avenue,"LINESTRING (-8234431.853455817 4977139.590871769, -8234427.378412287 4977147.6447177995, -8234385.399832309 4977223.377649487, -8234377.429356768 4977237.751247154)"
1003,East 56th Street,"LINESTRING (-8234260.84445406 4977043.062810515, -8234250.358158027 4977037.272332901, -8234097.405177678 4976952.91398736, -8234087.163784525 4976947.329314236)"
1004,Lexington Avenue,"LINESTRING (-8234260.84445406 4977043.062810515, -8234265.297233692 4977034.979657435, -8234306.329597998 4976960.62965943, -8234310.748981784 4976952.575967581)"
1005,East 56th Street,"LINESTRING (-8234087.163784525 4976947.329314236, -8234074.384306981 4976940.333780825)"
1006,3rd Avenue,"LINESTRING (-8234087.163784525 4976947.329314236, -8234083.044963365 4976954.92740977, -8234040.788084661 4977031.819881231, -8234032.862136915 4977046.29607362)"
1007,1st Avenue,"LINESTRING (-8233569.004950729 4976658.591366673, -8233564.351796015 4976667.688238031, -8233550.960061272 4976692.627523309, -8233523.04113298 4976742.947170746, -8233514.848018458 4976757.937302738)"
1008,East 56th Street,"LINESTRING (-8233569.004950729 4976658.591366673, -8233554.566812772 4976650.64079622, -8233533.672144351 4976638.869261089, -8233333.619887448 4976527.723742816, -8233319.270805083 4976519.670407837)"
1009,East 56th Street,"LINESTRING (-8233269.488728801 4976492.027532978, -8233304.899458824 4976511.808125529, -8233319.270805083 4976519.670407837)"
1010,Vanderbilt Avenue,"LINESTRING (-8235130.093829869 4976082.831019146, -8235124.995397191 4976092.1183922505, -8235096.597795091 4976143.816304512, -8235083.684734157 4976167.475758672, -8235079.17629478 4976175.734538148)"
1011,Vanderbilt Avenue,"LINESTRING (-8235130.093829869 4976082.831019146, -8235134.457553907 4976074.719270115, -8235172.0390139995 4976004.887970029, -8235173.196736704 4976002.742487651, -8235178.996482175 4975991.970997631)"
1012,Vanderbilt Avenue,"LINESTRING (-8235079.17629478 4976175.734538148, -8235074.2782371845 4976184.698701709, -8235033.023233898 4976259.939218448, -8235027.846877576 4976269.417801204)"
1013,Vanderbilt Avenue,"LINESTRING (-8235079.17629478 4976175.734538148, -8235083.684734157 4976167.475758672, -8235096.597795091 4976143.816304512, -8235124.995397191 4976092.1183922505, -8235130.093829869 4976082.831019146)"
1014,East 45th Street,"LINESTRING (-8235079.17629478 4976175.734538148, -8235088.571659802 4976181.03955854, -8235166.528699205 4976225.008148676, -8235178.506676416 4976232.179515033)"
1015,Vanderbilt Avenue,"LINESTRING (-8234977.842162311 4976359.560317552, -8234982.127962707 4976351.874511391, -8235023.716924468 4976276.8537190715, -8235027.846877576 4976269.417801204)"
1016,East 47th Street,"LINESTRING (-8234977.842162311 4976359.560317552, -8235066.519268678 4976409.64311839, -8235077.985176229 4976416.123922119)"
1017,West 37th Street,"LINESTRING (-8237393.742279303 4976488.6327993525, -8237408.5589035265 4976499.845711875, -8237521.57045058 4976562.215017181, -8237574.035326591 4976590.916200261)"
1018,10th Avenue,"LINESTRING (-8237393.742279303 4976488.6327993525, -8237387.063109856 4976500.727461767, -8237347.566954521 4976572.237642962, -8237343.22549438 4976580.114669852)"
1019,Madison Avenue,"LINESTRING (-8235178.506676416 4976232.179515033, -8235174.198612122 4976239.953399674, -8235136.416776946 4976308.008219105, -8235132.887949088 4976314.356695447, -8235127.355370396 4976324.320284691)"
1020,East 45th Street,"LINESTRING (-8235178.506676416 4976232.179515033, -8235191.3863415 4976239.674186319, -8235345.307801419 4976324.011677791, -8235359.100286328 4976331.859113394)"
1021,East 45th Street,"LINESTRING (-8234820.146971653 4976031.133429576, -8234830.210253621 4976036.7616644045, -8234933.759643958 4976094.763531774, -8234939.603917223 4976098.040566735, -8234958.338987524 4976108.224364006, -8234999.738706151 4976131.531045325, -8235070.871860767 4976171.017334069, -8235079.17629478 4976175.734538148)"
1022,Lexington Avenue,"LINESTRING (-8234820.146971653 4976031.133429576, -8234824.955973655 4976022.404528711, -8234866.8788938895 4975946.078411281, -8234870.686020475 4975939.142374715)"
1023,East 45th Street,"LINESTRING (-8234642.1471058745 4975932.926396977, -8234657.33108442 4975941.302538118, -8234809.1374740135 4976025.064344478, -8234820.146971653 4976031.133429576)"
1024,3rd Avenue,"LINESTRING (-8234642.1471058745 4975932.926396977, -8234638.061680563 4975940.685348526, -8234596.238947872 4976015.894595936, -8234591.140515194 4976025.181905413)"
1025,East 94th Street,"LINESTRING (-8232824.08831419 4980916.16223921, -8232813.368247224 4980910.104820357, -8232657.610015707 4980823.404749219, -8232645.609774599 4980816.788699435)"
1026,5th Avenue,"LINESTRING (-8232824.08831419 4980916.16223921, -8232828.674677209 4980907.870045418, -8232870.174583375 4980832.9171664305, -8232874.72755055 4980824.698555034)"
1027,Madison Avenue,"LINESTRING (-8232645.609774599 4980816.788699435, -8232640.945487935 4980825.271946302, -8232598.978039907 4980901.121616305, -8232594.280357394 4980909.325589564)"
1028,East 90th Street,"LINESTRING (-8233028.871649452 4980546.534248661, -8233018.240638082 4980541.241558557, -8232862.88315673 4980454.882903652, -8232849.780852663 4980447.487909632)"
1029,5th Avenue,"LINESTRING (-8233028.871649452 4980546.534248661, -8233034.025741875 4980537.095619977, -8233073.911515426 4980462.527833777, -8233077.8076976035 4980454.76528939)"
1030,Madison Avenue,"LINESTRING (-8232849.780852663 4980447.487909632, -8232844.726947781 4980456.588310623, -8232802.770631702 4980532.479222356, -8232797.805782411 4980541.432683427)"
1031,East 90th Street,"LINESTRING (-8232849.780852663 4980447.487909632, -8232838.426264603 4980441.269062135, -8232692.953954034 4980360.777244501, -8232681.27653945 4980354.132104914)"
1032,Park Avenue,"LINESTRING (-8232661.261295006 4980342.885363484, -8232656.029278939 4980352.117981641, -8232614.674088108 4980427.390608249, -8232609.664711023 4980436.564499287)"
1033,9th Avenue,"LINESTRING (-8237285.873692724 4975938.245980518, -8237291.651174297 4975927.621511301, -8237382.933156747 4975766.125123693, -8237388.0649852725 4975756.808671031)"
1034,West 33rd Street,"LINESTRING (-8237285.873692724 4975938.245980518, -8237300.5678655105 4975946.01963129, -8237352.631991353 4975974.204677823, -8237435.6874634335 4976020.376603364, -8237452.1070883265 4976029.3553195065, -8237463.528468082 4976035.615443992, -8237470.79763083 4976039.583130604, -8237475.406257749 4976042.110694766)"
1035,9th Avenue,"LINESTRING (-8237179.541315119 4976134.631749236, -8237184.506164408 4976125.652936345, -8237209.107771873 4976081.03820447, -8237225.560792613 4976049.913818483, -8237232.384677399 4976037.129042769)"
1036,West 35th Street,"LINESTRING (-8237179.541315119 4976134.631749236, -8237191.875514699 4976141.7001822125, -8237248.726378646 4976173.442064854, -8237299.866552716 4976202.5388812, -8237314.983739567 4976210.518477795)"
1037,9th Avenue,"LINESTRING (-8237128.312085455 4976224.978757841, -8237133.855796097 4976215.573695215, -8237159.158716355 4976170.752818021, -8237162.95471099 4976164.022356513, -8237165.01412157 4976160.37791641, -8237174.364958797 4976143.816304512, -8237179.541315119 4976134.631749236)"
1038,West 36th Street,"LINESTRING (-8237128.312085455 4976224.978757841, -8237111.803404971 4976215.441436587, -8237046.291884639 4976178.071098021, -8237023.304409789 4976165.344935919, -8236853.286151501 4976071.2659007395, -8236825.612126091 4976055.953528691, -8236822.383860857 4976054.160718945, -8236810.216640513 4976047.430337753)"
1039,West 39th Street,"LINESTRING (-8236976.3832444195 4976496.304017276, -8236991.533827119 4976504.651249752, -8237046.9598015845 4976535.1892490545, -8237093.636064073 4976560.921775893, -8237142.137966212 4976588.667717435, -8237199.445240073 4976621.425077185, -8237276.311348465 4976665.366257139, -8237292.441542681 4976672.170544482)"
1040,9th Avenue,"LINESTRING (-8236976.3832444195 4976496.304017276, -8236981.192246423 4976487.618788241, -8237011.137189448 4976433.52365226, -8237022.001971748 4976413.9048709255, -8237026.989084936 4976404.896409997)"
1041,West 40th Street,"LINESTRING (-8236927.480592116 4976587.594912088, -8236914.9571494 4976580.61433222, -8236913.120377803 4976579.585615608, -8236883.698636386 4976563.25842789, -8236776.164008279 4976503.549061957, -8236626.628536298 4976420.370981769, -8236610.14211971 4976410.510164445)"
1042,9th Avenue,"LINESTRING (-8236927.480592116 4976587.594912088, -8236932.322989965 4976578.850818095, -8236955.510839897 4976535.409687319, -8236971.830277247 4976504.842295649, -8236976.3832444195 4976496.304017276)"
1043,West 41st Street,"LINESTRING (-8236871.186325621 4976688.46852199, -8236883.687504439 4976701.445199808, -8236968.8691787915 4976749.633942468, -8236993.2815431245 4976760.612014982, -8237001.730692475 4976763.5218675975, -8237018.272768806 4976766.387632383)"
1044,9th Avenue,"LINESTRING (-8236871.186325621 4976688.46852199, -8236879.869245903 4976671.7149657, -8236913.910746188 4976611.652232924, -8236922.482346979 4976596.559453551, -8236927.480592116 4976587.594912088)"
1045,West 43rd Street,"LINESTRING (-8236767.180525373 4976874.199783933, -8236783.466566876 4976883.076409946, -8237012.90716935 4977012.523223614, -8237068.923137117 4977044.062182633, -8237082.604302537 4977051.792623354)"
1046,9th Avenue,"LINESTRING (-8236767.180525373 4976874.199783933, -8236772.4682011865 4976865.029238375, -8236790.435167 4976833.579035343, -8236814.936586923 4976790.7687114, -8236823.652903054 4976775.558085344)"
1047,9th Avenue,"LINESTRING (-8236614.505843751 4977150.907409138, -8236618.446553725 4977143.764761949, -8236660.881543614 4977066.827319309, -8236665.679413668 4977058.126886376)"
1048,West 46th Street,"LINESTRING (-8236614.505843751 4977150.907409138, -8236600.657699095 4977143.603097155, -8236458.357994014 4977064.064343145, -8236423.2812224645 4977044.429598878, -8236420.3757837545 4977042.812967502, -8236314.4218924185 4976983.512174147, -8236310.6481616795 4976981.381173403, -8236298.525469133 4976974.591367237)"
1049,West 47th Street,"LINESTRING (-8236564.3230173 4977241.822300643, -8236580.163780841 4977250.831533351, -8236868.4144703 4977411.073809299, -8236880.5037670005 4977417.80513)"
1050,9th Avenue,"LINESTRING (-8236564.3230173 4977241.822300643, -8236568.2748592235 4977234.650193107, -8236599.622427831 4977178.125939713, -8236610.442682336 4977158.314604332, -8236614.505843751 4977150.907409138)"
1051,West 51st Street,"LINESTRING (-8236360.975703468 4977610.3111074995, -8236376.860994804 4977619.276587516, -8236663.8537740195 4977778.745926633, -8236677.089661473 4977786.109504621)"
1052,9th Avenue,"LINESTRING (-8236360.975703468 4977610.3111074995, -8236365.150184373 4977602.7418971695, -8236390.809327001 4977556.268544052, -8236406.894993421 4977527.12360334, -8236411.447960594 4977518.848983978)"
1053,9th Avenue,"LINESTRING (-8236309.067424912 4977704.478453375, -8236314.600003605 4977694.439968249, -8236356.010854179 4977619.350075092, -8236360.975703468 4977610.3111074995)"
1054,West 52nd Street,"LINESTRING (-8236309.067424912 4977704.478453375, -8236294.94098153 4977696.953262972, -8236212.965308509 4977650.655832376, -8236202.055998412 4977644.571043528, -8236008.694042903 4977536.8532713065, -8236004.920312167 4977534.7515446255, -8235994.100057662 4977528.62273584)"
1055,West 54th Street,"LINESTRING (-8236209.124786077 4977886.819116387, -8236197.113413019 4977880.146264106, -8236194.297029903 4977878.588286037, -8236190.400847726 4977876.442392121, -8236027.796467523 4977787.123650526, -8235938.740874889 4977737.371834167, -8235907.103875605 4977720.278432559, -8235903.307880969 4977718.103178093, -8235891.129528676 4977711.09239504)"
1056,9th Avenue,"LINESTRING (-8236209.124786077 4977886.819116387, -8236213.555301812 4977878.8087546155, -8236241.975167809 4977826.440257772, -8236254.476346626 4977803.4381861, -8236259.196293035 4977794.531328166)"
1057,West 57th Street,"LINESTRING (-8236052.487130581 4978169.361271508, -8236043.336668438 4978164.246249588, -8236037.770693899 4978161.130203066, -8235906.992556116 4978088.153265704, -8235885.930908457 4978076.394696387, -8235879.396454348 4978072.749542774, -8235836.783353272 4978048.967888473, -8235829.903808741 4978045.131669068, -8235751.846581796 4978001.875092463, -8235735.716387581 4977992.938657429)"
1058,9th Avenue,"LINESTRING (-8236052.487130581 4978169.361271508, -8236059.912140618 4978155.7359173335, -8236091.126125837 4978098.559611355, -8236101.812796953 4978079.951662114, -8236106.9334935285 4978071.044552034)"
1059,West 57th Street,"LINESTRING (-8236052.487130581 4978169.361271508, -8236067.73790082 4978177.871615636, -8236354.374457664 4978337.849827033, -8236355.253881641 4978338.334880721, -8236368.93504706 4978345.96345553)"
1060,West 58th Street,"LINESTRING (-8235997.038892218 4978269.5897845905, -8235987.777110583 4978265.121443582, -8235982.856789092 4978262.710892044, -8235979.984746228 4978261.314536243, -8235946.611162888 4978243.147230535, -8235931.293600957 4978235.092481213, -8235918.324880278 4978227.919644341, -8235862.67626683 4978197.5821302505, -8235854.95069417 4978193.363694619, -8235696.075516909 4978104.144942691, -8235679.054766766 4978093.488721199)"
1061,9th Avenue,"LINESTRING (-8235997.038892218 4978269.5897845905, -8236001.992609559 4978260.6090091765, -8236023.644250517 4978221.437638502, -8236044.271752162 4978184.221307277, -8236052.487130581 4978169.361271508)"
1062,5th Avenue,"LINESTRING (-8234027.685780594 4978737.865616574, -8234032.238747767 4978729.53117472, -8234074.562418167 4978653.0516109215, -8234079.427079916 4978644.276269712)"
1063,Madison Avenue,"LINESTRING (-8233849.496671681 4978638.161463749, -8233845.544829758 4978645.290504725, -8233801.707214284 4978724.695143819, -8233794.449183485 4978737.806819782)"
1064,East 71st Street,"LINESTRING (-8233849.496671681 4978638.161463749, -8233862.220489479 4978645.09941696, -8234016.865526089 4978731.883044716, -8234027.685780594 4978737.865616574)"
1065,East 71st Street,"LINESTRING (-8233657.815640484 4978532.564072356, -8233680.7585875355 4978545.146329679)"
1066,Park Avenue,"LINESTRING (-8233657.815640484 4978532.564072356, -8233654.197757033 4978539.222671468, -8233611.751635193 4978617.994390445, -8233603.736631857 4978632.031962573)"
1067,East 71st Street,"LINESTRING (-8233490.535841669 4978439.094282707, -8233502.068540915 4978445.517637962, -8233648.587254698 4978527.331269176, -8233657.815640484 4978532.564072356)"
1068,Lexington Avenue,"LINESTRING (-8233490.535841669 4978439.094282707, -8233495.767857737 4978429.52540205, -8233537.55719458 4978354.0329949055, -8233542.266009041 4978345.404908424)"
1069,East 71st Street,"LINESTRING (-8233312.79201072 4978340.1134111155, -8233327.630898842 4978348.432822063, -8233478.513336662 4978432.347559425, -8233490.535841669 4978439.094282707)"
1070,3rd Avenue,"LINESTRING (-8233312.79201072 4978340.1134111155, -8233309.151863369 4978346.507304058, -8233264.368032225 4978425.218673877, -8233256.820570747 4978438.491634034)"
1071,East 71st Street,"LINESTRING (-8232797.928233852 4978054.024057346, -8232814.036164168 4978062.813566443, -8233048.319164493 4978193.157917319, -8233064.382567014 4978202.065138754)"
1072,1st Avenue,"LINESTRING (-8232797.928233852 4978054.024057346, -8232793.887336336 4978061.329050138, -8232776.031690013 4978095.311301707, -8232764.621442206 4978115.638976697, -8232752.0089439005 4978138.61238699, -8232744.127523951 4978152.943236516)"
1073,West 39th Street,"LINESTRING (-8235669.258651577 4975768.72609077, -8235683.296039366 4975776.617164613, -8235796.797392178 4975840.451337042, -8236012.289662456 4975960.714640193, -8236026.360446092 4975968.9291598005)"
1074,East 88th Street,"LINESTRING (-8233129.448809383 4980362.08569066, -8233119.886465123 4980356.660785818, -8232964.061441912 4980271.3328687595, -8232951.126117081 4980264.187939172)"
1075,5th Avenue,"LINESTRING (-8233129.448809383 4980362.08569066, -8233133.367255459 4980355.23472732, -8233175.935828738 4980279.374596176, -8233180.49992786 4980270.7301070085)"
1076,East 88th Street,"LINESTRING (-8232951.126117081 4980264.187939172, -8232939.2037996175 4980257.292940061, -8232856.493417958 4980211.086280617, -8232794.8335520085 4980176.640923955, -8232783.100477678 4980170.275235407)"
1077,Madison Avenue,"LINESTRING (-8232951.126117081 4980264.187939172, -8232946.439566519 4980272.817721038, -8232905.140035435 4980347.869212009, -8232900.59820021 4980356.116825335)"
1078,East 88th Street,"LINESTRING (-8232762.962781794 4980159.087511088, -8232749.838213828 4980151.8544556685, -8232603.475347334 4980070.306536937, -8232592.243210712 4980064.176136821)"
1079,Park Avenue,"LINESTRING (-8232762.962781794 4980159.087511088, -8232758.231703435 4980167.849512225, -8232755.704750993 4980172.392230676, -8232716.286519303 4980243.194225692, -8232711.555440945 4980251.427049128)"
1080,Lexington Avenue,"LINESTRING (-8232592.243210712 4980064.176136821, -8232596.874101531 4980055.8258617995, -8232615.475588442 4980022.174913879, -8232638.485327189 4979980.467892959, -8232643.42791258 4979971.367935684)"
1081,Madison Avenue,"LINESTRING (-8235440.352382658 4975760.423571167, -8235436.11111006 4975767.888491128, -8235398.106635904 4975834.793825636, -8235394.14366203 4975841.759177808, -8235389.501639265 4975849.9295128435)"
1082,East 42nd Street,"LINESTRING (-8235333.652650733 4975948.238576218, -8235322.7990003815 4975941.493573, -8235301.024907983 4975929.179178263, -8235264.523246951 4975906.72528605, -8235245.053468011 4975895.63061359, -8235236.904881285 4975891.075188811, -8235228.667238966 4975886.475681431, -8235169.601117152 4975853.118296538, -8235158.881050188 4975847.681200545, -8235145.634030784 4975840.539506078, -8235103.032061657 4975817.512720169, -8235062.0219612485 4975795.132558428, -8234988.172611057 4975753.781560564, -8234977.00726613 4975747.53631135)"
1083,East 42nd Street,"LINESTRING (-8235333.652650733 4975948.238576218, -8235348.625122245 4975956.217965122, -8235501.043769039 4976041.464108522, -8235513.800982684 4976047.812411671)"
1084,Madison Avenue,"LINESTRING (-8235333.652650733 4975948.238576218, -8235326.416883831 4975961.537561344, -8235296.605524199 4976016.2913637245, -8235286.2750754515 4976035.292151082, -8235284.60528309 4976039.127581318, -8235280.219295153 4976048.1650953)"
1085,East 43rd Street,"LINESTRING (-8235280.219295153 4976048.1650953, -8235292.9097171035 4976054.763220544, -8235446.397031008 4976141.171151709, -8235459.577258718 4976148.474714249)"
1086,Madison Avenue,"LINESTRING (-8235280.219295153 4976048.1650953, -8235274.987279085 4976057.5993871065, -8235234.544908081 4976130.458290172, -8235229.969677009 4976138.702343069)"
1087,East 44th Street,"LINESTRING (-8235229.969677009 4976138.702343069, -8235220.129034023 4976133.206307031, -8235139.711833875 4976088.2094651535, -8235130.093829869 4976082.831019146)"
1088,Madison Avenue,"LINESTRING (-8235229.969677009 4976138.702343069, -8235225.105015261 4976147.460738439, -8235199.557192124 4976193.50122442, -8235183.382470113 4976223.21530791, -8235178.506676416 4976232.179515033)"
1089,Madison Avenue,"LINESTRING (-8235077.985176229 4976416.123922119, -8235074.133521848 4976423.060297311, -8235032.900782457 4976497.303333465, -8235027.646502492 4976506.767450667)"
1090,East 47th Street,"LINESTRING (-8235077.985176229 4976416.123922119, -8235089.33976429 4976422.516555858, -8235243.584050734 4976508.266426594, -8235255.305993114 4976514.967733546)"
1091,East 48th Street,"LINESTRING (-8235027.646502492 4976506.767450667, -8235015.33456681 4976500.124932665, -8234869.361318533 4976421.282115913, -8234857.4835288655 4976414.8747872785)"
1092,Madison Avenue,"LINESTRING (-8235027.646502492 4976506.767450667, -8235022.848632438 4976515.393913311, -8234980.847788563 4976591.033768005, -8234976.038786559 4976599.689697015)"
1093,Madison Avenue,"LINESTRING (-8234925.343890454 4976691.143215216, -8234920.568284299 4976700.063763298, -8234888.307895866 4976758.304708222, -8234878.188954153 4976776.483948862, -8234874.203716383 4976783.670416293)"
1094,East 50th Street,"LINESTRING (-8234925.343890454 4976691.143215216, -8234913.39930909 4976684.7504057, -8234880.125913293 4976666.233325889, -8234847.008364782 4976647.686889068, -8234768.505859875 4976603.760484617, -8234756.5278826635 4976597.32364435)"
1095,East 52nd Street,"LINESTRING (-8234823.987494085 4976875.640030652, -8234811.720086201 4976868.8356015915, -8234810.172745278 4976867.983211244, -8234666.74871334 4976790.386608427, -8234665.813629617 4976789.857542795, -8234653.991499695 4976783.2148323115)"
1096,Madison Avenue,"LINESTRING (-8234823.987494085 4976875.640030652, -8234818.766609967 4976884.91346104, -8234788.342993133 4976940.025154468, -8234781.340997163 4976952.517181533, -8234778.201787523 4976958.204733265, -8234777.867829049 4976958.807290619, -8234773.726743992 4976966.596450008)"
1097,Madison Avenue,"LINESTRING (-8234722.00770857 4977060.448960623, -8234718.066998595 4977067.94426734, -8234717.577192836 4977068.855461882, -8234676.121814465 4977143.6618843535, -8234671.223756869 4977152.671026532)"
1098,East 54th Street,"LINESTRING (-8234722.00770857 4977060.448960623, -8234709.161439332 4977053.276986245, -8234566.305136798 4976973.665484943, -8234565.336657226 4976973.121712844, -8234552.913402054 4976966.199643626)"
1099,East 55th Street,"LINESTRING (-8234671.223756869 4977152.671026532, -8234836.299429767 4977243.953358201, -8234851.216241534 4977252.198350784)"
1100,Madison Avenue,"LINESTRING (-8234671.223756869 4977152.671026532, -8234666.693053595 4977161.709570673, -8234629.300836639 4977228.286421772, -8234620.896215081 4977243.350783259)"
1101,East 58th Street,"LINESTRING (-8234510.545203859 4977442.599357837, -8234499.034768512 4977436.014992441, -8234395.630093512 4977378.0198585745, -8234353.261895317 4977354.504443712, -8234342.107682341 4977348.184685618)"
1102,Madison Avenue,"LINESTRING (-8234510.545203859 4977442.599357837, -8234506.170347871 4977451.285435942, -8234464.614781957 4977526.094787053, -8234461.074822149 4977533.134832103)"
1103,East 59th Street,"LINESTRING (-8234461.074822149 4977533.134832103, -8234449.3306158725 4977525.918418556, -8234425.28560586 4977511.970620112, -8234304.092076234 4977445.876844947, -8234291.9359878395 4977439.1161104115)"
1104,Madison Avenue,"LINESTRING (-8234461.074822149 4977533.134832103, -8234455.809410237 4977543.026177459, -8234448.707226723 4977556.709466666, -8234428.458211347 4977594.04098691, -8234420.999805464 4977607.107052703, -8234414.721386184 4977618.527014282, -8234408.7880573245 4977628.433143634)"
1105,East 60th Street,"LINESTRING (-8234408.7880573245 4977628.433143634, -8234421.233576396 4977635.532052598, -8234439.823931358 4977646.040798942, -8234532.887025661 4977697.144332188, -8234573.796938527 4977720.410711562, -8234587.311124709 4977728.905966864)"
1106,Madison Avenue,"LINESTRING (-8234408.7880573245 4977628.433143634, -8234404.825083451 4977635.370379666, -8234362.423489409 4977709.872489908, -8234358.037501472 4977717.588759879)"
1107,East 62nd Street,"LINESTRING (-8234307.453924855 4977809.317304698, -8234295.3757601045 4977802.600411987, -8234150.794005462 4977722.96810598, -8234139.305834013 4977716.339458613)"
1108,Madison Avenue,"LINESTRING (-8234307.453924855 4977809.317304698, -8234302.411151923 4977818.400549886, -8234260.9335096525 4977893.168618825, -8234256.51412587 4977901.149596495)"
1109,East 65th Street,"LINESTRING (-8234153.777367815 4978087.256674295, -8234142.734474329 4978081.186311675, -8234141.855050352 4978080.701270756, -8233996.994996982 4978000.096623656, -8233985.384374092 4977993.64416516)"
1110,Madison Avenue,"LINESTRING (-8234153.777367815 4978087.256674295, -8234150.025900975 4978093.826780462, -8234108.080716845 4978169.66993671, -8234103.594541366 4978177.901012348)"
1111,Madison Avenue,"LINESTRING (-8234103.594541366 4978177.901012348, -8234098.596296229 4978186.881711714, -8234057.341292941 4978261.917173984, -8234052.89964526 4978269.957246935)"
1112,East 66th Street,"LINESTRING (-8234103.594541366 4978177.901012348, -8234116.83042882 4978185.132605952, -8234117.910227882 4978185.808730831, -8234270.050575949 4978270.633377686, -8234282.8745812895 4978277.600466846)"
1113,Madison Avenue,"LINESTRING (-8233952.2890894795 4978453.793042376, -8233947.825177899 4978461.847972058, -8233905.412451906 4978538.267243059, -8233901.360422442 4978545.572598028)"
1114,East 69th Street,"LINESTRING (-8233952.2890894795 4978453.793042376, -8233964.022163809 4978460.319298759, -8234054.146423556 4978510.486365618, -8234119.14587423 4978546.660317343, -8234130.288955256 4978552.863259539)"
1115,East 76th Street,"LINESTRING (-8233585.869853585 4979119.405458914, -8233572.711889773 4979112.08497495, -8233428.297114367 4979031.633511694, -8233415.840463346 4979024.695283891)"
1116,Madison Avenue,"LINESTRING (-8233585.869853585 4979119.405458914, -8233580.971795989 4979128.622220625, -8233538.748313132 4979204.017715992, -8233533.605352658 4979213.646155151)"
1117,East 77th Street,"LINESTRING (-8233533.605352658 4979213.646155151, -8233545.605593765 4979220.217019077, -8233700.751568085 4979306.329554964, -8233709.812974635 4979311.37167474)"
1118,Madison Avenue,"LINESTRING (-8233533.605352658 4979213.646155151, -8233529.508795396 4979221.01081502, -8233487.296444487 4979296.848024824, -8233482.8102690065 4979304.962450049)"
1119,Madison Avenue,"LINESTRING (-8233427.172787509 4979406.687338351, -8233419.4360829 4979420.1821358, -8233374.852626837 4979497.961337288, -8233370.923048813 4979504.8116992125)"
1120,East 79th Street,"LINESTRING (-8233427.172787509 4979406.687338351, -8233438.460583876 4979413.008428515, -8233472.446424416 4979431.486615553, -8233497.693684927 4979445.20195121, -8233539.249250841 4979467.987385293, -8233575.060731029 4979487.538800144, -8233594.185419546 4979498.005438316, -8233603.614180417 4979503.385765111)"
1121,East 79th Street,"LINESTRING (-8233427.172787509 4979406.687338351, -8233412.088996506 4979398.440526868, -8233404.3077641 4979394.192172156, -8233380.106906801 4979380.579809295, -8233372.125299313 4979376.125660125, -8233323.289438701 4979349.16560587, -8233307.504334907 4979340.330838742, -8233269.477596851 4979318.927509252, -8233257.020945832 4979311.91557703)"
1122,East 81st Street,"LINESTRING (-8233319.382124575 4979598.071181624, -8233332.8183871135 4979605.583136446, -8233487.084937455 4979691.757873033, -8233497.114823575 4979697.505822638)"
